metric,FY2025,FY2024,FY2023,FY2022,FY2021
Tax Effect Of Unusual Items,-165984000.0,-137280000.0,20665332.490696,-8526000.0,
Tax Rate For Calcs,0.304,0.312,0.291061,0.294,
Total Unusual Items,-546000000.0,-440000000.0,71000000.0,-29000000.0,
Total Unusual Items Excluding Goodwill,-546000000.0,-440000000.0,71000000.0,-29000000.0,
Net Income From Continuing Operation Net Minority Interest,10133000000.0,9481000000.0,10096000000.0,9592000000.0,
Reconciled Depreciation,1398000000.0,1498000000.0,1173000000.0,1579000000.0,
Net Interest Income,24023000000.0,22824000000.0,23056000000.0,19473000000.0,
Interest Expense,41087000000.0,38220000000.0,21419000000.0,4820000000.0,
Interest Income,65110000000.0,61044000000.0,44475000000.0,24293000000.0,
Normalized Income,10513016000.0,9783720000.0,10045665332.490696,9612474000.0,
Net Income From Continuing And Discontinued Operation,10116000000.0,9394000000.0,9998000000.0,10690000000.0,
Diluted Average Shares,1675000000.0,1784000000.0,1800000000.0,1833000000.0,
Basic Average Shares,1672000000.0,1673000000.0,1690000000.0,1722000000.0,
Diluted EPS,6.042,5.578,5.787,5.97,
Basic EPS,6.051,5.614,5.917,6.207,
Diluted NI Availto Com Stockholders,10116000000.0,9953000000.0,10416000000.0,10942000000.0,
Average Dilution Earnings,0.0,559000000.0,418000000.0,252000000.0,
Net Income Common Stockholders,10116000000.0,9394000000.0,9998000000.0,10690000000.0,
Net Income,10116000000.0,9394000000.0,9998000000.0,10690000000.0,
Minority Interests,,,,0.0,0.0
Net Income Including Noncontrolling Interests,10116000000.0,9394000000.0,9998000000.0,10690000000.0,
Net Income Discontinuous Operations,-17000000.0,-87000000.0,-98000000.0,1098000000.0,
Net Income Continuous Operations,10133000000.0,9481000000.0,10096000000.0,9592000000.0,
Tax Provision,4416000000.0,4301000000.0,4145000000.0,4002000000.0,
Pretax Income,14549000000.0,13782000000.0,14241000000.0,13594000000.0,
Special Income Charges,-546000000.0,-440000000.0,71000000.0,-29000000.0,
Other Special Charges,527000000.0,321000000.0,-292000000.0,-528000000.0,
Write Off,0.0,0.0,0.0,0.0,
Impairment Of Capital Assets,,50000000.0,6000000.0,-68000000.0,121000000.0
Restructuring And Mergern Acquisition,19000000.0,119000000.0,221000000.0,181000000.0,
Gain On Sale Of Security,,-118000000.0,268000000.0,420000000.0,23000000.0
Operating Expense,12913000000.0,12184000000.0,11829000000.0,11362000000.0,
Other Operating Expenses,2425000000.0,2119000000.0,2404000000.0,2141000000.0,
Depreciation And Amortization In Income Statement,1398000000.0,1498000000.0,1173000000.0,1579000000.0,
Amortization,683000000.0,685000000.0,395000000.0,761000000.0,
Depreciation Income Statement,715000000.0,813000000.0,778000000.0,818000000.0,
Selling General And Administration,752000000.0,707000000.0,665000000.0,722000000.0,
Selling And Marketing Expense,313000000.0,297000000.0,262000000.0,227000000.0,
General And Administrative Expense,439000000.0,410000000.0,403000000.0,495000000.0,
Insurance And Claims,,,,,565000000.0
Rent And Landing Fees,362000000.0,372000000.0,348000000.0,338000000.0,
Total Revenue,28657000000.0,27469000000.0,26779000000.0,23734000000.0,
Operating Revenue,28657000000.0,27469000000.0,26779000000.0,23734000000.0,
